"ID" "Dam" "Sire" "sex" "trait1" "trait2" "t1_a" "t2_a" "t2_s" "t1_d" "t2_d" "t1_r" "t2_r"
"u1_gs1" NA NA "M" 1.97462623911036 1.13193692299166 -0.205421768001997 -0.0488773377457611 -0.0982438440003423 1.10934349968986 0.240753575238278 0.0707045074224953 0.0383045294994816
"u1_gs2" NA NA "M" 1.04606354225852 0.766711060613861 -0.426567750877273 0.712716408571881 -0.325314195988207 -0.140712494988699 -0.506328502060685 0.613343788124496 -0.114362649909129
"u1_gs3" NA NA "M" 1.75805749753502 2.32513366058553 0.198207457314547 0.941459904082737 0.246866136999872 0.992967604969673 0.0110262851748099 -0.433117564749195 0.125781334328112
"u1_gs4" NA NA "M" 0.368566543507896 1.31674713422207 0.391196658667062 -0.631231018168047 0.261595591854229 -0.774057628378002 0.375899080757404 -0.248572486781164 0.310483479778481
"u1_gd1" NA NA "F" 1.67912878150885 0.784416966835693 0.579979614733694 -0.801623385112511 -0.0256979458557646 -0.521101532367123 -0.281372423161361 -0.379749300857723 -0.10688927903467
"u1_gd2" NA NA "F" 1.77980458498996 2.23637835682576 0.332955012461247 -0.481650699759239 -0.154725388960549 -0.587901746766231 0.683886990102814 0.0347513192949399 0.188867455442738
"u1_gd3" NA NA "F" 3.10488141367177 1.29753868510502 0.90299189262654 -0.259000084379797 -0.0349364890389063 0.0777790354588724 0.648215182614852 0.124110485586359 -1.05673992409113
"u1_gd4" NA NA "F" 2.01005768370783 2.50216651859879 -0.149691712137822 -0.314431596454082 0.256067762272268 -0.220254268910553 0.642802303359059 0.380003664756208 -0.0822719505784594
"u1_s1a" "u1_gd1" "u1_gs1" "M" 2.03063635068631 -0.0355678513966859 -0.192842126922547 -0.505537254421513 0.251127913362563 0.70194052489088 -1.46526346368618 0.521537952717979 0.684104953348446
"u1_s1b" "u1_gd1" "u1_gs1" "M" 0.0394806201939435 0.94130264581472 -0.180602361856751 -0.256587250571491 0.430420536326026 -0.0699547455800855 -0.182200100662477 -0.70996227236922 -0.0503305392773373
"u1_d1c" "u1_gd1" "u1_gs1" "F" 0.72441127986781 3.32664904870512 0.113654256182043 0.0226204253117303 0.112015835854736 -0.280574006685012 0.261071245385985 -1.10866896962922 0.930941542152674
"u1_d1d" "u1_gd1" "u1_gs1" "F" 1.93160342154378 1.95773232749289 0.0670434727492731 -0.0188972977221503 -0.283161960619684 -0.737648305619693 -0.253281458985189 0.602208254414197 0.513073044819911
